contractSymbol,symbol,expiration,dte,type,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,premium,spread,spread_percent,liquidity_score,swing_score,score,rating,recommendation,entry,take_profit,stop_loss,stock_score,stock_rating,stock_signal,stock_trend,auto_reason
NVDA260918C00240000,NVDA,2026-09-18,117,CALL,240.0,12.15,12.1,12.3,2285.0,35371,0.43753614227294924,12.3,0.2,1.63,20482.300000000003,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,12.3,18.45,8.61,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
NVDA260918C00250000,NVDA,2026-09-18,117,CALL,250.0,9.6,9.5,9.6,7903.0,26145,0.4353388986206055,9.6,0.1,1.04,17936.100000000002,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,9.6,14.4,6.72,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
NVDA260821C00250000,NVDA,2026-08-21,89,CALL,250.0,6.55,6.45,6.55,9296.0,23517,0.41544163665771483,6.55,0.1,1.53,17117.55,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,6.55,9.82,4.58,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
NVDA260918C00200000,NVDA,2026-09-18,117,CALL,200.0,30.15,30.0,30.35,3135.0,27680,0.46500168792724617,30.35,0.35,1.15,16634.75,110,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,30.35,45.53,21.24,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
NVDA260918C00220000,NVDA,2026-09-18,117,CALL,220.0,19.55,19.45,19.65,2084.0,26973,0.44482977050781247,19.65,0.2,1.02,15772.95,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,19.65,29.48,13.76,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
TSLA260821C00500000,TSLA,2026-08-21,89,CALL,500.0,18.55,18.3,18.5,1598.0,10378,0.5070544900512696,18.5,0.2,1.08,6427.000000000001,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,18.5,27.75,12.95,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
TSLA260918C00500000,TSLA,2026-09-18,117,CALL,500.0,23.85,23.55,23.85,1221.0,8823,0.5038501763916017,23.85,0.3,1.26,5402.1,110,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,23.85,35.78,16.7,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
TSLA260918C00940000,TSLA,2026-09-18,117,CALL,940.0,1.29,1.19,1.3,1200.0,8429,0.6439244592285156,1.3,0.11,8.46,5175.950000000001,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,1.3,1.95,0.91,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
TSLA260918C00600000,TSLA,2026-09-18,117,CALL,600.0,9.75,9.6,9.75,518.0,8220,0.530400203857422,9.75,0.15,1.54,4754.1,105,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,9.75,14.62,6.82,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
TSLA260821C00600000,TSLA,2026-08-21,89,CALL,600.0,6.55,6.5,6.65,2315.0,6464,0.5430953894042969,6.65,0.15,2.26,4596.950000000001,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,6.65,9.98,4.66,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
MSFT260821C00450000,MSFT,2026-08-21,89,CALL,450.0,15.3,15.15,15.3,982.0,18281,0.3291693060302734,15.3,0.15,0.98,10496.45,105,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,15.3,22.95,10.71,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
MSFT260918C00500000,MSFT,2026-09-18,117,CALL,500.0,7.6,7.5,7.75,1285.0,11840,0.32807068420410157,7.75,0.25,3.23,7090.250000000001,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,7.75,11.62,5.42,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
MSFT260821C00480000,MSFT,2026-08-21,89,CALL,480.0,8.35,8.2,8.45,598.0,12165,0.3328313787841797,8.45,0.25,2.96,6959.850000000001,105,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,8.45,12.68,5.91,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
MSFT260821C00500000,MSFT,2026-08-21,89,CALL,500.0,5.45,5.45,5.65,1597.0,9479,0.33707327972412116,5.65,0.2,3.54,5932.1,120,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,5.65,8.48,3.96,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
MSFT260918C00450000,MSFT,2026-09-18,117,CALL,450.0,18.65,18.3,18.8,679.0,9069,0.32637697555541995,18.8,0.5,2.66,5293.500000000001,105,100,🥇 MEJOR CONTRATO,ENTRADA PRIORITARIA CALL,18.8,28.2,13.16,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
