contractSymbol,symbol,expiration,dte,type,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,current_price,premium,spread,spread_percent,moneyness_percent,score,swing_score,liquidity_score,rating,entry_price,stop_loss,take_profit
NVDA260717C00220000,NVDA,2026-07-17,54,CALL,220.0,11.16,11.1,11.25,9521.0,76225.0,0.4032652447509766,215.3300018310547,11.25,0.15,1.33,2.17,100,100,46208.2,EXCELENTE,11.25,7.87,16.88
AAPL260821C00320000,AAPL,2026-08-21,89,CALL,320.0,10.65,10.45,10.85,1190.0,72328.0,0.2555006091308594,308.82000732421875,10.85,0.4,3.69,3.62,100,100,40315.9,EXCELENTE,10.85,7.59,16.27
AAPL260717C00320000,AAPL,2026-07-17,54,CALL,320.0,6.35,6.3,6.45,3636.0,35836.0,0.23139196350097657,308.82000732421875,6.45,0.15,2.33,3.62,100,100,21346.0,EXCELENTE,6.45,4.51,9.68
AAPL260717C00310000,AAPL,2026-07-17,54,CALL,310.0,10.95,10.55,10.85,10706.0,31611.0,0.24079128356933593,308.82000732421875,10.85,0.3,2.76,0.38,100,100,22203.75,EXCELENTE,10.85,7.59,16.27
AAPL260717C00305000,AAPL,2026-07-17,54,CALL,305.0,13.09,13.25,13.65,2206.0,18373.0,0.24719991088867188,308.82000732421875,13.65,0.4,2.93,1.24,100,100,11097.85,EXCELENTE,13.65,9.56,20.48
NVDA260717C00225000,NVDA,2026-07-17,54,CALL,225.0,9.2,9.15,9.25,4244.0,16873.0,0.4011900701904296,215.3300018310547,9.25,0.1,1.08,4.49,100,100,11189.95,EXCELENTE,9.25,6.48,13.88
NVDA260717P00210000,NVDA,2026-07-17,54,PUT,210.0,9.85,9.75,9.85,1712.0,13568.0,0.37830211547851555,215.3300018310547,9.85,0.1,1.02,2.48,100,100,8232.8,EXCELENTE,9.85,6.9,14.77
NVDA260717P00205000,NVDA,2026-07-17,54,PUT,205.0,7.77,7.8,7.9,2372.0,10128.0,0.3845276391601562,215.3300018310547,7.9,0.1,1.27,4.8,100,100,6637.8,EXCELENTE,7.9,5.53,11.85
NVDA260821P00210000,NVDA,2026-08-21,89,PUT,210.0,13.48,13.45,13.65,989.0,9863.0,0.3867859173583984,215.3300018310547,13.65,0.2,1.47,2.48,100,100,5869.7,EXCELENTE,13.65,9.56,20.48
AAPL260717C00315000,AAPL,2026-07-17,54,CALL,315.0,8.49,8.1,8.45,2427.0,7450.0,0.2355423126220703,308.82000732421875,8.45,0.35,4.14,2.0,100,100,5189.65,EXCELENTE,8.45,5.91,12.68
MSFT260717P00400000,MSFT,2026-07-17,54,PUT,400.0,9.1,9.1,9.3,365.0,7359.0,0.27082028015136717,418.57000732421875,9.3,0.2,2.15,4.44,100,100,4211.7,EXCELENTE,9.3,6.51,13.95
MSFT260717C00430000,MSFT,2026-07-17,54,CALL,430.0,14.1,14.0,14.45,1496.0,6093.0,0.30179531219482425,418.57000732421875,14.45,0.45,3.11,2.73,100,100,4024.35,EXCELENTE,14.45,10.11,21.67
MSFT260717C00435000,MSFT,2026-07-17,54,CALL,435.0,12.2,12.15,12.4,368.0,3456.0,0.2983163430786132,418.57000732421875,12.4,0.25,2.02,3.93,100,100,2066.4,EXCELENTE,12.4,8.68,18.6
MSFT260717P00410000,MSFT,2026-07-17,54,PUT,410.0,12.8,12.55,12.95,219.0,3613.0,0.2658459646606446,418.57000732421875,12.95,0.4,3.09,2.05,98,98,2085.7,EXCELENTE,12.95,9.06,19.42
MSFT260717C00450000,MSFT,2026-07-17,54,CALL,450.0,7.9,7.8,8.0,3877.0,23659.0,0.29871306762695304,418.57000732421875,8.0,0.2,2.5,7.51,95,95,14757.1,EXCELENTE,8.0,5.6,12.0
TSLA260717C00430000,TSLA,2026-07-17,54,CALL,430.0,29.4,29.3,29.5,1968.0,7135.0,0.47958894439697264,426.010009765625,29.5,0.2,0.68,0.94,93,93,4809.85,EXCELENTE,29.5,20.65,44.25
TSLA260717P00410000,TSLA,2026-07-17,54,PUT,410.0,20.93,20.9,21.15,1168.0,6019.0,0.4440363214111328,426.010009765625,21.15,0.25,1.18,3.76,93,93,3836.05,EXCELENTE,21.15,14.8,31.72
TSLA260717P00390000,TSLA,2026-07-17,54,PUT,390.0,13.68,13.6,13.8,126.0,5305.0,0.451726674194336,426.010009765625,13.8,0.2,1.45,8.45,93,93,2974.45,EXCELENTE,13.8,9.66,20.7
TSLA260717C00440000,TSLA,2026-07-17,54,CALL,440.0,25.1,25.1,25.25,1140.0,5053.0,0.4786123916625976,426.010009765625,25.25,0.15,0.59,3.28,93,93,3292.15,EXCELENTE,25.25,17.67,37.88
TSLA260717P00420000,TSLA,2026-07-17,54,PUT,420.0,25.6,25.45,25.75,518.0,4776.0,0.44205269866943364,426.010009765625,25.75,0.3,1.17,1.41,93,93,2859.9,EXCELENTE,25.75,18.02,38.62
